AccidentId	RoadType	RoadNumber	RoadSecNumber	RoadLetter	Circulation	LaneNumber	SpecialLane	Slope	RoadMarkerId	RoadMarkerDistance	Layout	StripWidth	LaneWidth	SurfaceCondition	Infrastructure	Localization	SchoolNear
201800000024	Communal				TwoWay	2	0	Flat			Straight			Wet	PedestrianZone	Lane	00
201800000025	Departamental	54			TwoWay	2	0	Flat	2	480	Straight			Wet	Unknown	Sidewalk	00
201800000026	Departamental	954			TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000027	Departamental	238															
201800000028	Departamental	106			TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000029	Departamental	642			TwoWay	2	0	Flat	19	900	Straight			Normal	Unknown	Shoulder	00
201800000030	Departamental	10			TwoWay	2	0	Flat	8	500	Straight			Normal	Unknown	Lane	00
201800000031	Departamental	642			DividedHighway	2	0	Uphill	0	600	Straight			Normal	Unknown	Shoulder	00
201800000032	Departamental	933			TwoWay	2	SeparatedBike	Flat	30	790	Straight			Normal	Unknown	Lane	00
201800000033	Departamental	18															
201800000034	Departamental	947			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000035	Departamental	10			TwoWay	2	0	Flat	13	400	Straight			Wet	Unknown	Shoulder	00
201800000036	Departamental	166			TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000037	Departamental	122			TwoWay	2	0	Flat	26	900	Straight			Normal	Unknown	Lane	00
201800000038	Departamental	322		D	TwoWay	2	0	Flat	1	481	Straight			Normal	Intersection	Lane	00
201800000039	Departamental	945			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000040	Departamental	122			TwoWay	2	0	Flat	26	0	Straight			Normal	Unknown	Lane	00
201800000041	Other							Flat			Straight			Normal	Unknown	Lane	00
201800000042	Departamental	69			TwoWay	2	0	Flat	20		Straight			Normal	Unknown	Shoulder	00
201800000043	Departamental	916			TwoWay	2	0	Uphill	0	50	Straight			Normal	Bridge	Lane	00
201800000044	Departamental	23		C	TwoWay	2	0	Flat	2	250	Straight			Normal	Unknown	Lane	00
201800000045	Departamental	122			TwoWay	2	0	Flat	13	875	RightCurve			Normal	Unknown	Shoulder	00
201800000046	Departamental	122		D	TwoWay	2	0	Flat	13	100	LeftCurve			Wet	Unknown	Shoulder	00
201800000047	Departamental	90			TwoWay	2	0	Flat			Straight			Wet	Unknown	Lane	00
201800000048	Departamental	90		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000049	Departamental	955			TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000050	Departamental	955			TwoWay	2	0	Flat			RightCurve			Wet	Unknown	Lane	00
201800000051	Departamental	955			TwoWay	1	0	Flat	60	150	Straight			Normal	Unknown	Lane	00
201800000052	Departamental	90															
201800000053	Departamental	94			TwoWay	2	SeparatedBike	Flat			RightCurve			Wet	Unknown	Lane	00
201800000054	Departamental	955		D	TwoWay	2	0	TopHill			Straight			Normal	Unknown	Lane	00
201800000055	Departamental	145		D	TwoWay	2	0	Flat			Straight			Normal	Intersection	Lane	00
201800000056	Departamental	36		D	TwoWay	2	0	Flat	3	670	Straight			Normal	Unknown	Lane	00
201800000057	Departamental	36		A	TwoWay	2	0	Flat	0	936	Straight			Normal	Unknown	Shoulder	00
201800000058	Departamental	57			TwoWay	2	0	Flat	5	80	Straight			Normal	Unknown	Lane	00
201800000059	Departamental	257			TwoWay	2	Bike	Flat	1	800	Straight			Normal	Unknown	Lane	00
201800000060	Departamental	36															
201800000061	Other	0			TwoWay	2	0	Flat			Straight			Wet	Unknown	Lane	00
201800000062	Departamental	40		A	TwoWay	2	0	Flat			RightCurve			Wet	Unknown	Sidewalk	00
201800000063	Departamental	45			TwoWay	2	0	Flat	2	200	Straight			Wet	Unknown	Shoulder	00
201800000064	Departamental	49		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000065	Departamental	81			TwoWay	2	0	Flat			S-Shape			Normal	Unknown	Shoulder	00
201800000066	Departamental	630		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Sidewalk	00
201800000067	Departamental	148			TwoWay	2	0	Flat	5		Straight			Normal	Unknown	Lane	00
201800000068	Communal				TwoWay	2	0	Flat	3		Straight			Normal	Unknown	Lane	00
201800000069	Departamental	962			TwoWay	2	0	BottomHill	8	409	Straight			Normal	Unknown	Shoulder	00
201800000070	Departamental	424			TwoWay	2	0	Uphill	1	230	S-Shape		53	Wet	Unknown	Lane	00
201800000071	Departamental	104			TwoWay	2	0	Flat	5	280	Straight			Wet	Unknown	Lane	00
201800000072	Departamental	962			TwoWay	2	0	TopHill	6	334	Straight			Snow	Unknown	Shoulder	00
201800000073	National	2			TwoWay	2	0	Flat	7	200	Straight			Normal	Unknown	Shoulder	00
201800000074	Departamental	116			TwoWay	2	0	Flat	14	989	Straight		48	Normal	Unknown	Shoulder	00
201800000075	National	2			TwoWay	2	0	Flat	3	582	Straight			Normal	Unknown	Lane	00
201800000076	National	2			TwoWay	2	0	Uphill	5	400	Straight			Normal	Unknown	Shoulder	00
201800000077	Communal				TwoWay	2	0	Flat			Straight			Normal	Intersection	Lane	00
201800000078	Communal				TwoWay	2	0	Flat	1		Straight			Normal	Unknown	Lane	00
201800000079	Departamental	124			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000080	Departamental	424			TwoWay	2	0	BottomHill			RightCurve			Normal	Unknown	Lane	00
201800000081	Departamental	951			TwoWay	2	SeparatedBike	Flat	33	500	Straight			Normal	Unknown	Lane	00
201800000082	Departamental	424			TwoWay	2	0	Flat	3	200	Straight			Wet	Intersection	Lane	00
201800000083	National	2			TwoWay	2	0	BottomHill	17	571	Straight			Normal	Unknown	Lane	00
201800000084	Departamental	20		D	TwoWay	2	0	Flat	5	216	Straight			Normal	Unknown	Lane	00
201800000085	Departamental	156			TwoWay	2	0	Flat	1	542	Straight			Wet	Unknown	Shoulder	00
201800000086	Departamental	42		D	TwoWay	2	0	BottomHill	4	500	Straight			Normal	Intersection	Lane	00
201800000087	Communal				TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Shoulder	00
201800000088	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000089	Departamental	643			TwoWay	2	0	Flat	2	773	Straight			Normal	Unknown	Lane	00
201800000090	Departamental	643		R	TwoWay	2	SeparatedBike	Flat	9	550	Straight			Normal	Intersection	Lane	00
201800000091	Departamental	2643			TwoWay	2	0	Flat	11	612	Straight			Normal	Unknown	Lane	00
201800000092	Departamental	2643		D	TwoWay	2	0	Uphill	12	18	Straight			Normal	Intersection	Lane	00
201800000093	Departamental	86			TwoWay	2	0	Flat			Straight			Normal	Unknown	Sidewalk	00
201800000094	Departamental	959			TwoWay	2	0	Flat	6	491	Straight			Normal	Unknown	Lane	00
201800000095	Communal																
201800000096	Departamental	67		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000097	Departamental	86		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000098	Departamental	643			TwoWay	2	0	Flat	8	790	Straight			Normal	Unknown	Lane	00
201800000099	Communal																
201800000100	Departamental	115			TwoWay	2	0	Flat	5	1000	Straight			Normal	Unknown	Lane	00
201800000101	Communal				DividedHighway	2	0	Flat			Straight			Ice	Unknown	Sidewalk	00
201800000102	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000103	Departamental	45			TwoWay	2	0	Flat	16	121	Straight			Normal	Intersection	Lane	00
201800000104	PublicParking				Unknown	1	Reserved	Flat			Straight			Normal	Unknown	Lane	00
201800000105	Departamental	16			TwoWay	2	0	Flat	26	134	Straight			Normal	Unknown	Lane	00
201800000106	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000107	Communal				TwoWay	2	0	Flat			Straight			Wet	Unknown	Lane	00
201800000108	Departamental	643		D	TwoWay	2	0	Flat	16	385	Straight			Normal	Unknown	Lane	00
201800000109	Departamental	16		A	TwoWay	2	0	Flat	0	482	Straight			Normal	Unknown	Lane	00
201800000110	Departamental	115															
201800000111	Departamental	134			TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000112	Departamental	643			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000113	Departamental	16		A	TwoWay	2	0	Flat	1	0	Straight			Normal	Unknown	Lane	00
201800000114	Departamental	340			TwoWay	2	0	Flat	30	929	Straight			Normal	Intersection	Lane	00
201800000115	Communal				Unknown	1	0	Flat			Straight			Other	Unknown	Shoulder	00
201800000116	Departamental	152			TwoWay	2	0	Uphill	3	660	Straight			Normal	Unknown	Lane	00
201800000117	Departamental	630			TwoWay	2	SeparatedBike	Flat	19	400	Straight			Normal	Unknown	Shoulder	00
201800000118	Departamental	630			TwoWay	2	0	Flat	20	783	RightCurve			Normal	Unknown	Sidewalk	00
201800000119	Departamental	114			TwoWay	2	0	Flat	4	870	Straight			Normal	Bridge	Lane	00
201800000120	Departamental	29			TwoWay	2	0	Flat	4	40	Straight			Wet	Unknown	Shoulder	00
201800000121	Departamental	56			TwoWay	2	0	Flat	4	888	Straight			Normal	Unknown	Shoulder	00
201800000122	Departamental	29			TwoWay	2	0	Uphill	15	398	Straight			Normal	Unknown	Shoulder	00
201800000123	Departamental	644			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000124	Departamental	40		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000125	Communal																
201800000126	Departamental	109		D	VariableWayNumber	2	0	Flat	1	659	Straight			Normal	Unknown	Lane	00
201800000127	Departamental	643		D	OneWay	1	0	Flat			Straight			Normal	Unknown	Lane	00
201800000128	Departamental	65			TwoWay	2	0	Flat	3	400	Straight			Normal	Unknown	Lane	00
201800000129	Departamental	25		A	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000130	Departamental	247			TwoWay	2	0	Flat			Straight			Normal	Bridge	Shoulder	00
201800000131	Departamental	643			TwoWay	3	0	Uphill	47	630	Straight			Normal	Unknown	Lane	00
201800000132	Communal				TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000133	Departamental	65		D	TwoWay	2	0	Flat	10	1	Straight			Normal	Unknown	Lane	00
201800000134	Departamental	643			OneWay	2	SeparatedBike	Flat	54	500	LeftCurve			Normal	Unknown	Lane	00
201800000135	Departamental	47			TwoWay	2	0	Flat	43		LeftCurve			Normal	Unknown	Lane	00
201800000136	Departamental	135		A	TwoWay	2	0	Flat	2	635	Straight			Wet	Unknown	Lane	00
201800000137	Departamental	126															
201800000138	Departamental	549			TwoWay	2	Bike	Flat			Straight			Ice	Unknown	Lane	00
201800000139	Departamental	938			TwoWay	2	SeparatedBike	Flat			Straight			Normal	Unknown	BikeLane	00
201800000140	Departamental	957			TwoWay	2	0	Uphill			Straight			Normal	Unknown	Lane	00
201800000141	Departamental	938			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000142	Departamental	938			TwoWay	2	SeparatedBike	Flat			Straight			Normal	Unknown	Lane	00
201800000143	Departamental	938			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000144	Departamental	938			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000145	Departamental	230			TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Shoulder	00
201800000146	Departamental	126			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000147	Other				Unknown	1	0	Flat			Straight			Other	Unknown	Lane	00
201800000148	Departamental	549		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000149	Departamental	938			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000150	Departamental	549			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000151	Departamental	430			TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000152	Communal				TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000153	Departamental	938			TwoWay	2	0	Flat			Straight			Wet	Unknown	Shoulder	00
201800000154	Communal				TwoWay	2	0	Flat			RightCurve			Wet	Unknown	Lane	00
201800000155	Departamental	30		D	TwoWay	2	0	Flat			Straight			Ice	Unknown	Lane	00
201800000156	Departamental	154			TwoWay	2	0	Flat	11	600	Straight		48	Normal	Unknown	Shoulder	00
201800000157	Departamental	154															
201800000158	National	2			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000159	Departamental	942			TwoWay	2	0	Uphill	45	850	RightCurve		67	Normal	Unknown	Lane	00
201800000160	Departamental	649			DividedHighway	4	0	Uphill	81	800	Straight	10	100	Normal	Unknown	Lane	00
201800000161	Departamental	2649			TwoWay	2	0	Uphill			S-Shape			Normal	Unknown	Lane	00
201800000162	Departamental	154		D	TwoWay	2	0	Flat	6	643	Straight			Normal	Unknown	Lane	00
201800000163	Departamental	951		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000164	Departamental	100			TwoWay	2	0	Flat	9	900	LeftCurve			Wet	Unknown	Shoulder	00
201800000165	Departamental	932			TwoWay	2	0	Flat	32	550	Straight		67	Normal	Unknown	Lane	00
201800000166	Communal				Unknown	2	0	Flat			Straight			Other	Unknown	Lane	00
201800000167	Communal	34			TwoWay	2	0	Uphill			RightCurve			Normal	Unknown	Lane	00
201800000168	Departamental	86			TwoWay	2	0	Flat	1	5	Straight			Normal	Intersection	Lane	00
201800000169	Highway	16			DividedHighway	4	0	Flat	59	568	Straight			Normal	Unknown	Lane	00
201800000170	Highway	16			DividedHighway	4	0	Uphill	69	100	Straight			Normal	Unknown	Lane	00
201800000171	Highway	16			DividedHighway	4	0	Flat	60	550	Straight			Normal	Unknown	Lane	00
201800000172	Highway	16			DividedHighway	2	0	Flat	63	300	Straight			Normal	Unknown	Lane	00
201800000173	Highway	16			DividedHighway	2	0	Flat	72	0	RightCurve			Normal	Unknown	Lane	00
201800000174	Highway	16			DividedHighway	4	0	Uphill	245	800	Straight			Normal	Unknown	Lane	00
201800000175	Departamental	341			TwoWay	2	0	Uphill	4	350	Straight			Normal	Unknown	Lane	00
201800000176	Departamental	55			TwoWay	2	0	Flat	14	37	LeftCurve			Normal	Unknown	Lane	00
201800000177	Departamental	339			TwoWay	2	0	Flat	30	937	LeftCurve			Normal	Unknown	Lane	00
201800000178	Communal				TwoWay	2	0	Flat			S-Shape			Normal	Unknown	Lane	00
201800000179	Departamental	341			TwoWay	2	0	Uphill	6	783	Straight			Normal	Unknown	Lane	00
201800000180	Departamental	49			TwoWay	2			9	225					Intersection	Lane	
201800000181	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000182	Departamental	57			TwoWay	2	0	Flat	5	0	S-Shape			Normal	Unknown	Shoulder	00
201800000183	Departamental	341			TwoWay	2	0	Flat			Straight			Normal	Intersection	Lane	00
201800000184	National	17			TwoWay	4	0	Flat	36	900	Straight			Normal	Unknown	Lane	00
201800000185	Departamental	51			TwoWay	2	0	Flat	1	350	Straight			Wet	Unknown	Sidewalk	00
201800000186	Departamental	950			DividedHighway	2	0	Flat	11	300	Straight			Normal	Unknown	Lane	00
201800000187	Departamental	950			DividedHighway	2	0	Flat	18	600	Straight			Normal	Unknown	Lane	00
201800000188	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000189	Departamental	39			TwoWay	2	0	Uphill	15	700	Straight			Normal	Unknown	Lane	00
201800000190	Departamental	43			TwoWay	2	0	Flat	0	2100	Straight			Normal	Unknown	Shoulder	00
201800000191	Departamental	191			TwoWay	2	0	Uphill	53	800	Straight			Ice	Unknown	Lane	00
201800000192	Departamental	191			TwoWay	2	0	Flat	46	800	Straight			Normal	Unknown	Lane	00
201800000193	Departamental	232			TwoWay	2	0	Flat	11	50	Straight			Normal	Intersection	Lane	00
201800000194	Departamental	940			TwoWay	2	0	Flat	59	300	Straight			Normal	Unknown	Lane	00
201800000195	Departamental	191			TwoWay	2	0	Flat	48	600	Straight			Wet	Unknown	Lane	00
201800000196	Departamental	191			TwoWay	2	0	Uphill	50	1090	Straight			Normal	Unknown	Lane	00
201800000197	Departamental	244		E	TwoWay	2	0	Flat	19	140	Straight			Normal	Unknown	Lane	00
201800000198	Communal				TwoWay	2	0	Flat			LeftCurve			Wet	Unknown	Shoulder	00
201800000199	Departamental	940			TwoWay	2	SeparatedBike	Flat	36	79	Straight			Normal	Unknown	Lane	00
201800000200	Departamental	52			TwoWay	2	0	TopHill	15	600	Straight			Normal	Unknown	Shoulder	00
201800000201	Departamental	901			TwoWay	2	0	Flat	44	910	Straight			Normal	Unknown	Lane	00
201800000202	Communal				OneWay	1	0	Flat			Straight			Normal	Unknown	Lane	00
201800000203	Departamental	75			TwoWay	2	0	Flat	28	500	Straight			Normal	Unknown	Lane	00
201800000204	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000205	Departamental	148		E	TwoWay	2	0	Uphill	58	436	LeftCurve			Normal	Unknown	Lane	00
201800000206	Departamental	113			TwoWay	2	0	Flat	32	520	LeftCurve			Normal	Unknown	Shoulder	00
201800000207	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000208	Departamental	940			OneWay	1	0	Flat	0	24	RightCurve			Normal	Unknown	Lane	00
201800000209	Departamental	157			TwoWay	1	0	Flat	24	647	Straight			Normal	Intersection	Sidewalk	00
201800000210	Departamental	157			TwoWay	2	0	Flat			LeftCurve			Wet	Intersection	Lane	00
201800000211	Communal				OneWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000212	Departamental	157			TwoWay	2	0	Flat	21	300	Straight			Normal	Unknown	Lane	00
201800000213	Departamental	190			TwoWay	2	0	Flat	9	1480	Straight			Normal	Unknown	Lane	00
201800000214	Departamental	943			TwoWay	2	Bike	Flat	60	450	Straight			Normal	Unknown	Lane	00
201800000215	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000216	Communal				Unknown	2	0	Flat			S-Shape			Normal	Unknown	Lane	00
201800000217	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000218	Departamental	192			TwoWay	2	0	Flat	2	350	Straight			Normal	Unknown	Lane	00
201800000219	PublicParking						0	Flat			Straight			Wet	Unknown	Lane	00
201800000220	Departamental	194			TwoWay	2	0	Flat	1	290	Straight			Wet	Bridge	Shoulder	00
201800000221	Departamental	940		D	OneWay	1	0	Flat	20	850	LeftCurve			Snow	Intersection	Lane	00
201800000222	Departamental	48			TwoWay	2	0	Flat	15	100	Straight			Normal	Unknown	Lane	00
201800000223	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000224	Departamental	940			TwoWay	2	0	Flat	16	100	Straight			Normal	Unknown	Sidewalk	00
201800000225	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000226	Departamental	102			TwoWay	2	0	Flat	11	850	Straight			Normal	Unknown	Lane	00
201800000227	Departamental	48			TwoWay	2	0	Flat	11	580	Straight			Normal	Unknown	Lane	00
201800000228	Communal	7			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000229	Departamental	940		D	TwoWay	2	0	Flat	8	300	Straight			Normal	Unknown	Lane	00
201800000230	Departamental	48			TwoWay	2	0	Flat	17	670	LeftCurve			Normal	Unknown	Sidewalk	00
201800000231	Departamental	106			TwoWay	2	0	Uphill	7	430	Straight			Normal	Unknown	Lane	00
201800000232	Departamental	929			TwoWay	2	0	Flat	28	0	LeftCurve	0	0	Wet	Unknown	Lane	99
201800000233	Departamental	938			TwoWay	2	0	TopHill	22	500	Straight			Normal	Unknown	Lane	00
201800000234	PublicParking				Unknown	1	0	Flat			Straight			Normal	Unknown	Lane	00
201800000235	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000236	Departamental	929			TwoWay	2	0	Flat	33	200	Straight			Normal	Unknown	Lane	00
201800000237	Departamental	966			TwoWay	2	0	Flat	24	960	Straight			Wet	Unknown	Lane	00
201800000238	Departamental	1044			TwoWay	3	0	TopHill	78	897	Straight			Wet	Unknown	Lane	00
201800000239	Departamental	1044			TwoWay	2	0	Uphill	76	876	RightCurve			Normal	Unknown	Lane	00
201800000240	Departamental	513			TwoWay	2	0	Flat	2	775	RightCurve			Normal	Unknown	Shoulder	00
201800000241	Departamental	1044			TwoWay	3	0	Uphill	77	705	Straight			Normal	Unknown	Lane	00
201800000242	Departamental	89			TwoWay	2	0	Flat	14	0	Straight			Normal	Unknown	Lane	00
201800000243	Departamental	25			TwoWay	2	0	Flat	17	233	LeftCurve			Wet	Unknown	Lane	00
201800000244	Departamental	82			TwoWay	2	0	Uphill	31	776	LeftCurve			Wet	Unknown	Lane	00
201800000245	Departamental	86			TwoWay	2	0	Flat	20	12	RightCurve			Normal	Unknown	Shoulder	00
201800000246	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000247	Departamental	969			TwoWay	2	0	Uphill	6	650	S-Shape			Normal	Unknown	Lane	00
201800000248	Departamental	933			TwoWay	2	0	Flat	2	600	Straight			Normal	Unknown	Lane	00
201800000249	Departamental	1003			TwoWay	3	0	Flat	8	872	Straight			Normal	Intersection	Lane	00
201800000250	Departamental	86			TwoWay	2	0	Uphill	23	700	S-Shape			Normal	Unknown	Shoulder	00
201800000251	Departamental	861			TwoWay	2	0	Uphill	4	14	Straight			Normal	Unknown	Lane	00
201800000252	Departamental	11			TwoWay	2	0	Flat	29	600	Straight			Normal	Unknown	Shoulder	00
201800000253	Departamental	1			TwoWay	2	0	Flat	107	100	Straight			Normal	Unknown	Shoulder	00
201800000254	Departamental	16			TwoWay	2	0	Uphill	9	785	Straight			Wet	Unknown	Lane	00
201800000255	Departamental	15			TwoWay	2	0	Uphill	27	139	Straight			Normal	Unknown	Lane	00
201800000256	Departamental	933			TwoWay	2	0	Uphill	5	920	Straight			Normal	Unknown	Lane	00
201800000257	Departamental	363			TwoWay	2	0	Uphill	2	2168	Straight			Wet	Unknown	Lane	00
201800000258	Departamental	363							2	1							
201800000259	Communal				TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000260	Departamental	1043			TwoWay	2	0	Flat	20	900	Straight			Normal	Unknown	Lane	00
201800000261	Communal				TwoWay	2	0	Uphill			Straight			Normal	Unknown	Sidewalk	00
201800000262	Departamental	753			TwoWay	2	0	Flat	58	300	Straight			Normal	Unknown	Lane	00
201800000263	Departamental	1043			TwoWay	2	0	Flat	24	519	Straight			Normal	Unknown	Lane	00
201800000264	Communal				TwoWay	2	0	BottomHill			Straight			Normal	Unknown	Lane	00
201800000265	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000266	Departamental	981			TwoWay	2	0	Flat	1	620	Straight			Normal	Unknown	Lane	00
201800000267	Departamental	153			TwoWay	2	0	BottomHill	21	0	Straight			Wet	Unknown	Lane	00
201800000268	Departamental	915			TwoWay	2	0	Flat	6	0	Straight			Wet	Unknown	Lane	00
201800000269	Departamental	915			TwoWay	2	0	Flat	0	550	Straight			Wet	Unknown	Shoulder	00
201800000270	Departamental	153			TwoWay	2	0	Flat	8	847	Straight			Normal	Unknown	Shoulder	00
201800000271	Departamental	981		D	TwoWay	2	0	Flat	6	500	Straight			Wet	Unknown	Lane	00
201800000272	Communal				TwoWay	2	0	TopHill			LeftCurve			Wet	Unknown	Shoulder	00
201800000273	Departamental	44			TwoWay	2	0	TopHill	2	850	LeftCurve			Normal	Unknown	Shoulder	00
201800000274	Departamental	1001			TwoWay	2	0	Uphill	21	500	Straight			Normal	Unknown	Lane	00
201800000275	Departamental	1001			TwoWay	3	0	Flat	14	700	Straight			Normal	Unknown	Lane	00
201800000276	Departamental	1001			TwoWay	2	0	Flat	21	500	Straight			Normal	Unknown	Lane	00
201800000277	Departamental	1001			TwoWay	2	0	Uphill	17	500	Straight			Normal	Unknown	Lane	00
201800000278	Departamental	125			VariableWayNumber	2	0	Flat	17	800	Straight			Normal	Unknown	Lane	00
201800000279	Departamental	620			OneWay	1	0	Uphill	2	59	LeftCurve			Normal	Unknown	Lane	00
201800000280	Departamental	1016			DividedHighway	2	0	Flat	26	700	LeftCurve			Normal	Unknown	Lane	00
201800000281	Departamental	137			TwoWay	2	Reserved	Flat	21	500	Straight			Normal	Unknown	Lane	00
201800000282	Departamental	916		A	TwoWay	2	0	Flat	31	23	Straight			Other	Unknown	Lane	00
201800000283	Departamental	12			TwoWay	2	0	Flat	12	514	Straight			Normal	Unknown	Shoulder	00
201800000284	Departamental	89			TwoWay	2	0	Flat	3	100	Straight			Normal	Unknown	Lane	00
201800000285	Communal				TwoWay	2	0	Uphill			RightCurve			Normal	Unknown	Lane	00
201800000286	Departamental	1001			OneWay	1	0	Flat	25	630	LeftCurve			Normal	Unknown	Sidewalk	00
201800000287	Departamental	137			TwoWay	2	0	Flat	4	500	Straight			Normal	Unknown	Lane	00
201800000288	Communal														Intersection	Lane	03
201800000289	Departamental	137			TwoWay	2	0	Flat	13	900	Straight			Normal	Unknown	Lane	00
201800000290	Departamental	12			TwoWay	2	0	Flat	19	154	Straight			Normal	Intersection	Lane	00
201800000291	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
